site,sample,date,time
Windsor,WIN-0A,2025-01-29,14:03:00
Windsor,WIN-1,2025-01-30,10:53:00
Windsor,WIN-2,2025-01-30,11:23:00
Windsor,WIN-3,2025-01-30,11:53:00
Windsor,WIN-4,2025-01-30,12:23:00
Windsor,WIN-5,2025-01-30,12:53:00
Windsor,WIN-6,2025-01-30,13:23:00
Windsor,WIN-7,2025-01-30,13:53:00
Windsor,WIN-8,2025-01-30,14:23:00
Windsor,WIN-9,2025-01-30,14:53:00
Windsor,WIN-10,2025-01-30,15:23:00
Windsor,WIN-11,2025-01-30,15:53:00
Windsor,WIN-12,2025-01-30,16:23:00
Windsor,WIN-13,2025-01-30,16:53:00
Windsor,WIN-14,2025-01-30,17:53:00
Windsor,WIN-15,2025-01-30,18:53:00
Windsor,WIN-16,2025-01-30,19:53:00
Windsor,WIN-17,2025-01-30,20:53:00
Windsor,WIN-18,2025-01-30,21:53:00
Windsor,WIN-19,2025-01-30,22:53:00
Windsor,WIN-20,2025-01-30,23:53:00
Windsor,WIN-21,2025-01-31,0:53:00
Windsor,WIN-22,2025-01-31,2:53:00
Windsor,WIN-23,2025-01-31,4:53:00
Windsor,WIN-24,2025-01-31,6:53:00
Windsor,WIN-25A,2025-01-31,10:19:00
Argyle,ARG-0A,2025-01-29,15:07:00
Argyle,ARG-1,2025-01-30,12:49:00
Argyle,ARG-2,2025-01-30,19:43:00
Argyle,ARG-3,2025-01-30,20:09:00
Argyle,ARG-4,2025-01-30,20:30:00
Argyle,ARG-5,2025-01-30,21:09:00
Argyle,ARG-6,2025-01-30,21:34:00
Argyle,ARG-7,2025-01-30,21:44:00
Argyle,ARG-8,2025-01-30,22:30:00
Argyle,ARG-9,2025-01-31,0:30:00
Argyle,ARG-10,2025-01-31,0:39:00
Argyle,ARG-11,2025-01-31,2:30:00
Argyle,ARG-12,2025-01-31,2:32:00
Argyle,ARG-13,2025-01-31,3:26:00
Argyle,ARG-14,2025-01-31,3:28:00
Argyle,ARG-15,2025-01-31,3:30:00
Argyle,ARG-16,2025-01-31,4:30:00
Argyle,ARG-17,2025-01-31,5:30:00
Argyle,ARG-18,2025-01-31,6:30:00
Argyle,ARG-19,2025-01-31,6:34:00
Argyle,ARG-20,2025-01-31,6:41:00
Argyle,ARG-21,2025-01-31,7:30:00
Argyle,ARG-22,2025-01-31,8:30:00
Argyle,ARG-23,2025-01-31,9:30:00
Argyle,ARG-24,2025-01-31,10:30:00
Argyle,ARG-25A,2025-01-31,10:58:00
